codigo_provincia,codigo_departamento,codigo_circuito,codigo_mesa,codigo_partido,votos
1,1,1,17,68,3
1,1,1,17,187,12
1,1,1,17,3001,1
1,1,1,17,3002,0
1,1,1,17,3003,0
1,1,1,17,3004,1
1,1,1,17,234,2
1,1,1,17,324,2
1,1,1,17,325,1
1,1,1,17,501,67
1,1,1,17,3005,13
1,1,1,17,3006,29
1,1,1,17,3007,19
1,1,1,17,3008,3
1,1,1,17,503,56
1,1,1,17,3009,6
1,1,1,17,505,14
1,1,1,17,506,5
1,1,1,18,9001,349
1,1,1,18,9002,254
1,1,1,18,9003,0
1,1,1,18,9004,2
1,1,1,18,9005,5
1,1,1,18,9006,0
1,1,1,18,8,1
1,1,1,18,68,3
1,1,1,18,187,4
1,1,1,18,3001,0
1,1,1,18,3002,0
1,1,1,18,3003,0
1,1,1,18,3004,1
1,1,1,18,234,3
1,1,1,18,324,1
1,1,1,18,325,1
1,1,1,18,501,60
1,1,1,18,3005,16
1,1,1,18,3006,21
1,1,1,18,3007,34
1,1,1,18,3008,2
1,1,1,18,503,75
1,1,1,18,3009,9
1,1,1,18,505,10
1,1,1,18,506,6
1,1,1,19,9001,349
1,1,1,19,9002,256
1,1,1,19,9003,0
1,1,1,19,9004,4
1,1,1,19,9005,4
1,1,1,19,9006,0
1,1,1,19,8,1
1,1,1,19,68,8
1,1,1,19,187,5
1,1,1,19,3001,1
1,1,1,19,3002,0
1,1,1,19,3003,0
1,1,1,19,3004,1
1,1,1,19,234,3
1,1,1,19,324,0
1,1,1,19,325,3
1,1,1,19,501,50
1,1,1,19,3005,15
1,1,1,19,3006,34
1,1,1,19,3007,39
1,1,1,19,3008,2
1,1,1,19,503,65
1,1,1,19,3009,4
1,1,1,19,505,12
1,1,1,19,506,5
1,1,1,20,9001,348
1,1,1,20,9002,254
1,1,1,20,9003,0
1,1,1,20,9004,3
1,1,1,20,9005,2
1,1,1,20,9006,0
1,1,1,20,8,0
1,1,1,20,68,7
1,1,1,20,187,6
1,1,1,20,3001,0
1,1,1,20,3002,0
1,1,1,20,3003,0
1,1,1,20,3004,0
1,1,1,20,234,4
1,1,1,20,324,1
1,1,1,20,325,2
1,1,1,20,501,65
1,1,1,20,3005,17
1,1,1,20,3006,21
1,1,1,20,3007,28
