codigo_provincia,provincia,codigo_departamento,departamento,codigo_partido,partido,lista_interna,agrupacion,votos
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,3009,COMPROMISO FEDERAL,SIGLO 21 LETRA -A,504,3714
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,9001,ELECTORES,,9001,176065
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,9002,VOTANTES,,9002,122883
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,9003,VOTOS IMPUGNADOS,,9003,81
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,9004,VOTOS BLANCOS,,9004,2482
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,9005,VOTOS NULOS,,9005,2105
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,9006,VOTOS RECURRIDOS,,9006,38
1,CIUDAD AUTÓNOMA BS.AS.,4,Comuna 4,9007,EMPADRONADOS,,9007,177442
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,8,PARTIDO FEDERAL,,8,291
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,68,NUEVA IZQUIERDA,,68,1823
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,187,AUTODETERMINACION Y LIBERTAD,,187,3269
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,234,MOVIMIENTO AL SOCIALISMO,,234,1103
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,324,PARTIDO FE,,324,374
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,325,MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION,,325,933
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,501,FRENTE PARA LA VICTORIA,,501,25957
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,503,UNION PRO,,503,31994
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,505,4915
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,506,CAMINO POPULAR,,506,3996
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,3001,EL MOVIMIENTO,LISTA A - SEGURIDAD Y JUSTICIA PARA TODOS,262,583
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,3002,EL MOVIMIENTO,LISTA B - REAFIRMACION,262,96
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,3003,EL MOVIMIENTO,LISTA C - RECUPERACION DEMOCRATICA,262,88
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,3004,EL MOVIMIENTO,LISTA D - RENOVACION,262,300
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,3005,UNEN,LISTA JUNTOS,502,8009
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,3006,UNEN,LISTA SUMA MAS,502,13170
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,3007,UNEN,LISTA COALICION SUR,502,16219
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,3008,UNEN,LISTA PRESIDENTE ILLIA,502,864
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,3009,COMPROMISO FEDERAL,SIGLO 21 LETRA -A,504,2630
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,9001,ELECTORES,,9001,157397
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,9002,VOTANTES,,9002,117711
