codigo_partido,partido,lista_interna,agrupacion
3017,COMPROMISO FEDERAL,ES POSIBLE BUENOS AIRES - P,504
3018,COMPROMISO FEDERAL,JUSTICIA Y DIGNIDAD - M,504
3019,COMPROMISO FEDERAL,UNIR - U,504
3020,UNION CIVICA RADICAL,IDENTIDAD RADICAL - LETRA I,3
3021,UNION CIVICA RADICAL,INTEGRACION PARA UNA CONFLUENCIA RADICAL - LETRA A,3
3022,UNION CIVICA RADICAL,CAMBIO RADICAL - LETRA C,3
3023,ENCUENTRO VECINAL CORDOBA,DEMOCRACIA EN LIBERTAD - LETRA B,217
3024,ENCUENTRO VECINAL CORDOBA,GENTE NUEVA - LETRA A,217
3025,ENCUENTRO VECINAL CORDOBA,REFUNDACION POPULAR - LETRA R,217
3026,UNION POR CORDOBA,MOVIMIENTO DE UNIDAD PERONISTA - LETRA S,512
3027,UNION POR CORDOBA,FRENTE RENOVADOR - LETRA M,512
3030,FRENTE PARA LA VICTORIA,LISTA 2 CELESTE Y BLANCA LETRA K,501
3031,FRENTE PARA LA VICTORIA,LISTA  PRIMERO MI PROVINCIA - CORRIENTES CRECE  N. 1,501
3032,FRENTE PARA LA VICTORIA,LISTA AZUL Y BLANCA 11 DE MARZO,501
3033,ENCUENTRO POR CORRIENTES,LISTA VERDE,517
3034,ENCUENTRO POR CORRIENTES,LISTA B  NUEVA GENERACION,517
3035,ENCUENTRO POR CORRIENTES,LISTA ELI,517
3036,ENCUENTRO POR CORRIENTES,LISTA  UNIDOS POR EL CAMBIO  LETRA  D,517
3037,ENCUENTRO POR CORRIENTES,LISTA FRENTE AMPLIO PROGRESISTA LETRA  E,517
3038,ENCUENTRO POR CORRIENTES,LISTA  COALICION POR LA REPUBLICA  F,517
3039,UNION CIVICA RADICAL,CAMBIO RADICAL CHUBUTENSE A,3
3040,UNION CIVICA RADICAL,COMPROMISO CHUBUTENSE B,3
3041,UNION CIVICA RADICAL,FRENTE CHUBUT PRODUCTIVO C,3
3042,UNION CIVICA RADICAL,FRENTE RADICAL AMAYA CHUBUT D,3
3043,FRENTE PARA LA VICTORIA,LISTA K NESTOR KIRCHNER,501
3044,FRENTE PARA LA VICTORIA,LISTA A MUCHOS,501
3045,FRENTE PARA LA VICTORIA,LISTA B 15 DE ABRIL,501
3046,PARTIDO JUSTICIALISTA,A- UNIDAD PERONISTA,2
3047,PARTIDO JUSTICIALISTA,B- COMPROMISO PERONISTA,2
3048,PARTIDO JUSTICIALISTA,C- PAMPEANOS Y PERONISTAS,2
3049,PARTIDO JUSTICIALISTA,J- JTP,2
3050,PARTIDO JUSTICIALISTA,K- NEP,2
3051,PARTIDO JUSTICIALISTA,M- FRENTE RENOVADOR,2
3052,PARTIDO JUSTICIALISTA,O- GENERACION PARA EL CAMBIO,2
3053,PARTIDO JUSTICIALISTA,P- 4 DE JUNIO,2
3054,FRENTE PAMPEANO CIVICO Y SOCIAL - FREPAM,A- ADELANTE,525
3055,FRENTE PAMPEANO CIVICO Y SOCIAL - FREPAM,B- POR MAS!!!,525
3056,FRENTE PAMPEANO CIVICO Y SOCIAL - FREPAM,C- SI AL CAMBIO,525
